id,parentId,name,lastName,position,image,email,phone_number,hire_date,job_id,salary,commission_pct,department_id,job_min_salary,location_state,job_max_salary,department_name,department_location_id,department_location_street_address,department_location_postal_code,department_location_country_id,department_location_country_name,department_location_country_region_id,department_location_country_region_name
100,,,,WAL,,,,,,,,,,,,,,,,,,,
101,100,Annie,Stanley,Admin,,annie@walhq.com,,,,,,,,,,,,,,,,,
102,101,Isobel,Fuller,Manager,,isobel@walhq.com,,,,,,,,,,,,,,,,,
103,101,Ethan,Valdez,Manager,,ethan@walhq.com,,,,,,,,,,,,,,,,,
104,101,Jackson,Reed,Manager,,jackalew23@walhq.com,,,,,,,,,,,,,,,,,
105,102,,,House Team,,,,,,,,,,,,,,,,,,,
106,102,,,Jorden Team,,,,,,,,,,,,,,,,,,,
107, ,,,Team Lucas, ,,,,,,,,,,,,,,,,,,
108,105,Sally,Mason,User,,sally@walhq.com,,,,,,,,,,,,,,,,,
109,105,Amanda,Carr,Manger,, ,,,,,,,,,,,,,,,,,
110,105,Bec,Ferguson,User,,bec@walhq.com,,,,,,,,,,,,,,,,,
111,107,Courtney,Turner,User,,Courteny@walhq.com,,,,,,,,,,,,,,,,,
112,107,Megan,Sims,Manager,,sims@walhq.com,,,,,,,,,,,,,,,,,
113,109,,,Aman Carr,,,,,,,,,,,,,,,,,,,
114,112,,,Team Megan,,,,,,,,,,,,,,,,,,,
